"id","nom","visuel","raison_sociale","adresse1","adresse2","adresse3","code_postal","ville","latitude","longitude","SIRET","APE","RCS","agence_CTRB","licence_agrement","tel_fixe","tel_mobile","fax","email","site_web","resa_directe","type_hotel","categorie","nb_chambre_pref","nb_chambre_dispo_location","nb_chambre","nb_chambre_familiales","nb_suites","nb_chambre_pers_mobilite_reduite","nb_salle_reunion","label","chaine","description","ouverture","langue","animaux_acceptes","resa_derniere_minute","parking_autocars","groupes_acceptes","groupe_nb_mini","groupe_nb_maxi","gratuite_groupes","commissionnement_agence_voyages","mode_paiement","confort","equipement","service","activites","description_animations","tarif_mini_chambre_double_hors_petit_dej","tarif_maxi_chambre_double_hors_petit_dej","tarif_mini_chambre_familiale","tarif_maxi_chambre_familiale","tarif_mini_suite","tarif_maxi_suite","tarif_mini_petit_dej","tarif_maxi_petit_dej","tarif_mini_demi_pension","tarif_maxi_demi_pension","tarif_mini_VRP_diner_petit_dej","tarif_maxi_VRP_diner_petit_dej","tarif_mini_groupe_chambre_double_petit_dej","tarif_maxi_groupe_chambre_double_petit_dej","tarif_mini_groupe_demi_pension","tarif_maxi_groupe_demi_pension"
"29","Grand Hôtel","http://www.bourgogne-du-sud.com/images/bdd/photos/100083/1/146323.jpg","Grand Hôtel","1, parc thermal",,,"71140","Bourbon-Lancy","46,6178462","3,7681925","79652007000015","930K",,,,"03 85 89 08 87",,"03 85 89 32 23","mailto: ghthermal@stbl.fr",,"http://reservation-hotel.logishotels.com/reservit/avail-info.php?userid=102382bd96311d874d07e620cedb352f6129&hotelid=6901&partid=378","Hôtels - restaurant","3 étoiles","30.0","26.0","26",,"1.0","2.0","1.0","Bourgogne Séminaires, Logis, Qualité Tourisme","Logis","En bordure du parc thermal, ancien couvent des sœurs visitandines. Cour intérieure entourée de galeries avec arcades. Cadre fleuri et ombragé. Possibilité de remise en forme thermale ou mini cure libre au sein de l'établissement thermal qui jouxte l'hôtel.","Ouvert du 01/03/2012 au 16/12/2012.","Anglais, Italien","Oui",,"Oui","Oui",,,,,"Chèques Vacances","Accès Internet, Câble/ satellite, Télévision","Ascenseur, Parc, Parking privé, Restaurant","Coffres clients, Service en chambre","Animation, Randonnée voie verte",,"71.0","110.","0","0","110.","110.","8.5","8.5","18.0",,,,,,,
"30","Hostellerie Bourguignonne","http://www.bourgogne-du-sud.com/images/bdd/photos/100083/1/146304.jpg","Hostellerie Bourguignonne","2, avenue Président Borgeot",,,"71350","Verdun-sur-le-Doubs","46,8906709","5,0261227","40754505200018","551A",,,,"03 85 91 51 45","06 81 34 21 22","03 85 91 53 81","mailto: ","http://www.hostelleriebourguignonne.",,"Hôtels - restaurant","3 étoiles","14.0","9.0","9","2.0",,,"1.0","Qualité Tourisme","Châteaux et Hôtels Collection","En terrasse ou à l'intérieur, ici les plaisirs d'une table mais aussi ceux d'une ",,"Anglais, Allemand","Oui","Oui","Oui","Oui","1.0","18.0","Gratuité groupes sur demande.","Oui","Chèques Vacances","Câble/ satellite","Jeux pour enfants","Wifi","Animation","Séjours gastronomiques en cours de cuisine, repas animés par un œnologue ","110.","145.","127","127",,,"14.0","14.0","102.0","164.0","115.0","115.0","110.0","145.0",,
"31","Hostellerie Bressane",,"Hostellerie Bressane","2, route de Sens",,,"71330","Saint-Germain-du-Bois","46,7532208","5,2406911","44538741800012","551A","445387418",,,"03 85 72 04 69",,"03 85 72 07 75","mailto: LA.TERRINEE4@wanadoo.fr","http://www.giot-hostelleriebressane.fr","http://ldf.reservit.com/reservit/reserhotel.php?id=12&partid=378&hotelid=2145","Hôtels - restaurant","2 étoiles","9.0","9.0","9","2.0",,,,"Qualité Tourisme, Logis","Logis","Toutes les chambres, rénovées entièrement en 2006, sont différentes mais toutes sont restées dans le style de la Bresse Bourguignonne avec poutres apparentes. Wifi gratuit.","Fermé  le dimanche soir sauf juillet et août et le lundi toute l'année.","Anglais","Oui","Oui",,,,,,,"Chèques Vacances","Accès Internet, Câble/ satellite, Télévision, Wifi","Bar, Parking privé, Restaurant","Wifi",,,"57.0",,"0","0",,,"8.0","8.0","62.0","62.0","62.0","62.0",,,,
"32","Hostellerie Bressane","http://www.bourgogne-du-sud.com/images/bdd/photos/100083/1/146315.jpg","Hostellerie Bressane","56, route de Tournus",,,"71290","Cuisery","46,5579","4,9972","65565012500017","5510Z",,,,"03 85 32 30 66",,"03 85 40 14 96","mailto: hostellerie.bressane@wanadoo.fr","http://www.hostellerie-bressane.fr","http://ldf.reservit.com/reservit/reserhotel.php?id=12&partid=378&hotelid=871","Hôtels - restaurant","3 étoiles","15.0","15.0","15","1.0",,"1.0",,"Qualité Tourisme, Logis","Logis","Maison de charme située dans le 4ème Village du Livre de France, à quelques minutes de Tournus avec son illustre abbaye Saint-Philibert, à 20 minutes de Louhans avec son marché typique du lundi matin, et à 30 minutes du circuit automobile de Bresse. 15 chambres entièrement rénovées très confortables et bien équipées : six en rez-de-jardin, sept dans le bâtiment principal et deux junior suites de style chalet. Parking privé sécurisé gratuit. Accès wifi sécurisé gratuit. Cuisine gastronomique de terroir à base de produits frais de saison, salles climatisées, terrasse dans le jardin à l'ombre du magnifique platane bi-centenaire.","Ouvert tous les jours sauf mercredi (après le service du petit-déjeuner) et jeudi toute la journée. Fermé en janvier.","Anglais, Allemand","Oui","Oui","Oui","Oui","12.","40.0","1 gratuité pour 20 personnes payantes.","Non","Chèques Vacances","Accès Internet, Câble/ satellite, Climatisation, Mini-bar, Télévision, Wifi","Garage privé, Jardin, Local matériel fermé, Parking privé, Restaurant","Wifi",,,"70.0","120.","98","127",,,"9.0","11.0","85.0","105.0","82.0","92.0",,,,
"33","Hostellerie d'Héloïse","http://www.bourgogne-du-sud.com/images/bdd/photos/100083/1/146229.jpg","Hostellerie d'Héloïse","Le Pont de l'Etang",,,"71250","Cluny","46,4337171","4,6581957","45396974300013","551A","453969743",,,"03 85 59 05 65",,"03 85 59 19 43","mailto: hostelleriedheloise@aliceadsl.fr","http://www.hostelleriedheloise.com","http://reservation-hotel.logishotels.com/reservit/avail-info.php?userid=2201535cece89be7f2ea54a3a45566928c2a&hotelid=93636","Hôtels - restaurant","2 étoiles","13.0","13.0","13","2.0",,,"1.0","Qualité Tourisme, Logis, Tour de Bourgogne à vélo","Logis","Au départ de la Voie Verte, sur les rives de la Grosne, 13 chambres, bar salon. Hôtel entièrement non fumeur, équipé du wifi (gratuit). Cuisine traditionnelle et raffinée. Deux salles de restaurant différentes. Une salle de réception.","Fermé du 20/12 à mi février.","Anglais","Oui","Oui",,"Oui","10.","32.0","1 gratuité pour l'accompagnant et le chauffeur.","Non",,"Télévision, Wifi","Bar, Local matériel fermé, Restaurant",,,,"63.0","68.0","91","91",,,"8.5","9.0","61.0","61.0","77.0","77.0",,,,
"34","Hostellerie des Trois Pigeons","http://www.bourgogne-du-sud.com/images/bdd/photos/HOTBOU0710000541.jpg","Hostellerie des Trois Pigeons","2, rue Dargaud",,,"71600","Paray-le-Monial","46,4527721","4,1198967","79542018100013","551A","54B18",,,"03 85 81 03 77",,"03 85 81 58 59","mailto:hotel3pigeons@wanadoo.fr","http://www.h-3-p.com","http://inter-hotel.reservit.com/reservit/avail.php?hotelid=10335&userid=2304c0fde1b6f51643ec045f6fb210950001&typeforfait","Hôtels - restaurant","3 étoiles (hôtel), 3 étoiles (nouveau classement)","40.0","40.0","40","3.0",,"2.0","1.0","Qualité Tourisme","Interhôtels","Ancien relais de poste dont l'enseigne existe depuis trois siècles. A deux pas du centre historique et religieux.",,"Anglais, Allemand, Italien","Oui",,"Oui","Oui",,,,"Oui","Chèques Vacances","Câble/ satellite, Télévision","Ascenseur, Bar, Garage privé, Jardin, Jeux pour enfants, Restaurant","Service en chambre",,,,,"0","0",,,,,,,,,,,,
"35","Hostellerie du Château de Bellecroix","http://www.bourgogne-du-sud.com/images/bdd/photos/HOTBOU0710000438.jpg","Hostellerie du Château de Bellecroix","RN6",,,"71150","Chagny","46,8967","4,76236","31032676400019","551A","B310326764",,,"03 85 87 13 86",,"03 85 91 28 62","mailto: info@chateau-bellecroix.com","http://www.chateau-bellecroix.com","http://reservation-hotel.logishotels.com/reservit/avail-info.php?userid=2201535cece89be7f2ea54a3a45566928c2a&hotelid=3990","Hôtels - restaurant","3 étoiles (nouveau classement), 3 étoiles (hôtel)","20.0","20.0","20",,,,"2.0","Logis, Qualité Tourisme, Bourgogne Séminaires, Tour de Bourgogne à vélo","Châteaux et Hôtels Collection, Relais du Silence, Logis","Château des XIIème et XVIIIème siècles. Propriété de caractère. Le charme des siècles passés, associé au confort actuel, donne aux chambres une personnalisation différente les unes des autres. Piscine extérieure chauffée dans le parc.",,"Anglais, Espagnol","Oui",,"Oui","Oui","12.","40.0",,"Oui",,"Accès Internet, Câble/ satellite, Climatisation, Mini-bar, Télévision","Bar, Garage privé, Jardin, Local matériel fermé, Parc, Parking privé, Restaurant","Location de voitures","Piscine plein-air",,,,"0","0",,,,,,,,,,,,
"36","Hostellerie du Château de la Barge","http://www.bourgogne-du-sud.com/images/bdd/photos/HOTBOU0710000294.jpg","Hostellerie du Château de la Barge","Route des Bergers",,,"71680","Crêches-sur-Saône","46,2512","4,78294","45001182000013","551A","81A136",,,"03 85 23 93 23","06 62 10 46 78","03 85 23 93 39","mailto: info@chateaudelabarge.fr","http://www.chateaudelabarge.fr","http://chateaux-demeures.reservit.com/reservit/avail-info.php?hotelid=6879&userid=6559d1059f599cdc151988e1fe4ebc1ed31f","Hôtels - restaurant","3 étoiles","25.0","25.0","25","4.0","4.0","1.0","3.0","Bourgogne Séminaires","Châteaux et Demeures de Tradition et Grandes Etapes des Vignobles","Au cœur du vignoble mâconnais, au pied des vignobles du Pouilly-Fuissé, dans un parc de 4 hectares avec piscine chauffée. Tourisme, séminaires, gastronomie. Wifi.",,,,,,,,,,,,,"Restaurant",,"Piscine plein-air",,,,"0","0",,,,,,,,,,,,
"37","Hostellerie du Cheval Rouge","http://www.bourgogne-du-sud.com/images/bdd/photos/HOTBOU0710000318.jpg","Hostellerie du Cheval Rouge","5, rue d'Alsace",,,"71500","Louhans","46,6300108","5,226558","31343215500015","551A","A313432155",,,"03 85 75 21 42",,"03 85 75 44 48","mailto: contact@hotel-chevalrouge.com","http://www.hotel-chevalrouge.com","http://ldf.reservit.com/reservit/reserhotel.php?id=12&partid=378&hotelid=1301","Hôtels - restaurant","2 étoiles","14.0","20.0","14",,,"1.0","1.0","Qualité Tourisme, Logis","Logis","L'hostellerie et son annexe, à 100 mètres des 157 arcades. Chambres non fumeurs. Wifi.",,"Anglais, Espagnol","Oui",,,"Oui","15.","45.0",,,"Chèques Vacances","Accès Internet, Câble/ satellite, Télévision, Wifi","Bar, Garage privé, Local matériel fermé, Restaurant",,,,,,"0","0",,,,,,,,,,,,
"38","Hostellerie du Gourmet",,"Hostellerie du Gourmet","45, route de Toulon",,,"71190","Étang-sur-Arroux","46,8618969","4,192336","31371985800034","551A","144020G208400027",,,"03 85 82 20 88",,"03 85 82 36 13",,,,"Hôtels - restaurant",,"13.0","13.0","13",,,,,,,"Cuisine régionale gastronomique. Tourisme. Pension. Banquets.",,,,,,,,,,,,,"Restaurant",,,,,,"0","0",,,,,,,,,,,,
"39","Hostellerie du Vieux Moulin","http://www.bourgogne-du-sud.com/images/bdd/photos/100083/1/146319.jpg","Hostellerie du Vieux Moulin","Porte d'Arroux","Route de Saulieu - D980",,"71400","Autun","46,9592608","4,2961307","47755166700017","551A","A95030402200",,,"03 85 52 10 90",,"03 85 86 32 15","mailto: auvieuxmoulin2@wanadoo.fr",,"http://chateaux-demeures.reservit.com/reservit/avail-info.php?hotelid=3789&userid=50878ffe72ea660ac5a7c4cf6178af94ce63","Hôtels - restaurant","3 étoiles","16.0","16.0","16",,,,"2.0",,"Moulin Etape","Ancien moulin au bord de l'Arroux. Service d'été au jardin.",,"Anglais, Allemand, Italien, Espagnol","Oui",,"Oui","Oui","8.0","35.0",,"Oui",,"Accès Internet, Climatisation, Télévision","Bar, Garage privé, Jardin, Jeux pour enfants, Local matériel fermé, Parc, Parking privé, Restaurant","Coffres clients, Service en chambre",,,,,"0","0",,,,,,,,,,,,
"40","""Hôtel """"Château de la Boulaye""""""","http://www.bourgogne-du-sud.com/images/bdd/photos/0/1/177844.jpg","""Hôtel """"Château de la Boulaye""""""","La Basse Cour",,,"71320","La Boulaye","46,7460841","4,1266155","522475854000","5510Z",,,,"03 85 80 16 16","06 01 99 43 57","03 85 67 45 09","mailto: chateaudelaboulaye@nordnet.fr","http://www.chateaudelaboulaye.fr",,"Hôtels",,,"16.0","16","2.0","1.0","1.0","1.0",,,"Situé au cœur de la vallée Arroux-Mesvrin, l'hôtel du château de La Boulaye vous fera passer de belles soirées. Découvrez un cadre naturel empreint de calme et de sérénité. Profitez des chambres ouvertes sur de larges terrasses vous plongeant directement au milieu du parc arboré. Un hébergement agréable ponctué d'un accueil chaleureux. Restauration uniquement sur réservation pour les hôtes.","Ouvert toute l'année.","Anglais","Oui","Oui","Oui","Oui",,"45.0",,,"Chèques Vacances","Accès Internet, Câble/ satellite, Télévision","Bar, Jardin, Local matériel fermé, Parc, Parking privé","Location ou prêt de vélos/VTT",,,,"57.0","0","0",,"90.0","7.0","12.0",,"75.0",,"70.0",,,,
"41","Hôtel 19'Cent",,"Hôtel 19'Cent","1, rue du Maréchal Foch",,,"71200","Le Creusot","46,8060483","4,4602139",,,,,,"03 85 57 64 20",,"03 85 57 00 39","mailto: hotel19cent@orange.fr","http://www.hotel-creusot.fr",,"Hôtels",,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,"0","0",,,,,,,,,,,,
"42","Hôtel Akena",,"Hôtel Akena","ZAC Les Bouchardes",,,"71680","Crêches-sur-Saône","46,246075","4,786367",,,,,,"03 85 37 19 90",,"03 85 37 48 33","mailto: macon71@hotels-akena.com","http://www.hotels-akena.com",,"Hôtels","1 étoile (hôtel), 1 étoile (nouveau classement)","43.0","43.0","43",,,,,,,,,,,,,,,,,,,,,,,,,,"0","0",,,,,,,,,,,,
"43","Hôtel A la Villa Boucicaut","http://www.bourgogne-du-sud.com/images/bdd/photos/HOTBOU0710000586.jpg","Hôtel A la Villa Boucicaut","33 bis, avenue Boucicaut",,,"71100","Chalon-sur-Saône","46,7845234","4,8447082","499908481","551C",,,,"03 85 90 80 45","06 27 25 59 50","03 85 48 32 78","mailto: alavillaboucicaut@orange.fr","http://www.la-villa-boucicaut.fr","http://reservation-hotel.logishotels.com/reservit/avail-info.php?userid=2201535cece89be7f2ea54a3a45566928c2a&hotelid=112190","Hôtels","3 étoiles (nouveau classement), 3 étoiles (hôtel)","16.0","16.0","16","1.0","3.0","2.0","2.0","Logis, Tour de Bourgogne à vélo, Qualité Tourisme","Logis","Au cœur de Chalon-sur-Saône, un lieu retiré, à proximité de la gare et de la sortie d'autoroute Chalon Nord. Les chambres sont silencieuses, ensoleillées et confortables. Le jardin et sa terrasse vous invitent à la détente. Deux salles de séminaires. Parking privé.","Ouvert toute l'année.","Anglais, Espagnol","Oui","Oui","Non","Oui",,,,"Oui","Chèques Vacances","Accès Internet, Télévision, Câble/ satellite, Wifi","Parking privé, Bar, Jardin","Service en chambre, Coffres clients","Randonnée voie verte, Golf",,,,"0","0",,,,,,,,,,,,
"44","Hôtel Arcades",,"Hôtel Arcades","22, avenue de la République",,,"71400","Autun","46,9559319","4,2961546","49276571400018","551C","443490768",,,"03 85 52 30 03",,"03 85 86 39 09","mailto: lesarcades71@orange.fr","http://www.hotel-arcades-autun.com",,"Hôtels","2 étoiles (nouveau classement), 2 étoiles (hôtel)","29.0","29.0","29",,,,,"Qualité Tourisme","Contact Hôtel","Près du centre historique, 29 chambres calmes, tout confort. TV chaînes satellite, téléphone, réveil. Connexion wifi gratuite dans tout l'hôtel.",,,,,,,,,,,,,,,,,,,"0","0",,,,,,,,,,,,
"45","Hôtel B&B Chalon-sur-Saône Nord",,"Hôtel B&B Chalon-sur-Saône Nord","""4, rue André Marie Ampère",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"46","""","ZAC des Blettrys",,"71530","Champforgeuil","46,8246747","4,8338408",,,,,,"08 92 78 80 27",,"03 85 46 97 10","mailto: bb_4287@hotelbb.com","http://www.hotelbb.com",,"Hôtels","2 étoiles","40.0","42.0","40.0",,,"2",,,,"Un accueil chaleureux et professionnel, des chambres calmes, agréables et confortables, la possibilité de loger toute votre famille, de véritables salles de bains et un copieux petit-déjeuner.","Ouvert toute l'année.","Anglais","Oui","Oui",,"Oui",,,,,,"Accès Internet, Câble/ satellite, Canal +, Climatisation","Parking privé","Wifi",,,"39.6","48.0",,,,"0","2","6.1",,,,,,,,,NULL,NULL,NULL
"47","Hôtel Carrion","http://www.bourgogne-du-sud.com/images/bdd/photos/100083/1/163863.jpg","Hôtel Carrion","Place André Lagrange",,,"71260","Viré","46,4494507","4,8427084",,,,,,"03 85 33 10 72","06 30 24 28 12",,"mailto: contact@relais-de-montmartre.fr","http://relais-de-montmartre.com","http://www.relais-de-montmartre.fr/fr/index.php#reservez-votre-table.php","Hôtels - restaurant","4 étoiles (hôtel), 4 étoiles (nouveau classement)","10.0","10.0","10",,"1.0","1.0","2.0","Qualité Tourisme, Tables et Auberges de France, Bourgogne Séminaires, Tourisme et Handicap MOTEUR, Tourisme et Handicap VISUEL, Logis","Hôtels & Préférence, Logis","Situé à 15 minutes de Mâcon et Tounus, sur la route des vins, proche de la Voie Verte, hôtel 4 étoiles avec SPA et restaurant étoilé au guide Michelin depuis 2009. Cuisine savoureuse et classique avec les produits régionaux.","Ouvert toute l'année.","Anglais","Non","Oui","Oui","Oui","10.","40.0","1 gratuité à partir de 15 personnes payantes.","Oui",,"Accès Internet, Climatisation, Mini-bar, Télévision","Ascenseur, Bar, Garage privé, Jardin, Parking privé, Restaurant","Coffres clients, Location ou prêt de vélos/VTT, Service en chambre","Hammam, Jacuzzi, Animation","Pique-nique chic dans les vignes, balade à vélo, dégustation de vins chez le viticulteur, SPA.","140.","200.","127","127","280.","380.","20.0","20.0","200.0","220.0","200.0","220.0","150.0","190.0","200.0","220.0"
"48","Hôtel Citotel L'Iroko","http://www.bourgogne-du-sud.com/images/bdd/photos/100083/1/146340.jpg","Hôtel Citotel L'Iroko","Avenue Maréchal Leclerc",,,"71300","Montceau-les-Mines","46,6821986","4,3720291","50952408800010","5510Z","509524088",,,"03 85 57 49 49",,"03 85 57 72 23","mailto: info@hotel-restaurant-iroko.fr","http://hotel-restaurant-iroko.fr",,"Hôtels - restaurant","2 étoiles","30.0","30.0","30",,,,,"Qualité Tourisme","Citotel","Entre Chalon-sur-Saône et Paray-le-Monial, une halte à Montceau-les-Mines, au bord du canal du Centre, dans un cadre moderne et agréable. Cuisine traditionnelle et régionale. Spécialité viande charolaise.",,"Anglais",,,"Oui","Oui","10.","60.0",,"Oui","Chèques Vacances","Câble/ satellite, Télévision, Wifi","Parking privé, Restaurant",,,,"64.0",,"0","0",,,"7.0",,,,"75.0",,,,,
"49","Hôtel Concorde","http://www.bourgogne-du-sud.com/images/bdd/photos/100083/1/146252.jpg","Hôtel Concorde","73, rue Lacretelle",,,"71000","Mâcon","46,3071597","4,8230993","75151283100015","551A",,,,"03 85 34 21 47",,"03 85 29 21 79","mailto: hotel.concorde.71@wanadoo.fr","http://www.hotelconcorde71.fr",,"Hôtels","2 étoiles (nouveau classement), 2 étoiles (hôtel)","14.0","14.0","14","2.0",,,,,,"Hôtel calme, proche du centre ville, avec petit parc et terrasse arborés. Accueil chaleureux. Etablissement tenu par le propriétaire.",,"Anglais",,,,"Oui",,"25.0",,"Oui","Chèques Vacances","Accès Internet, Télévision","Jardin, Parc, Parking privé","Wifi",,,,,"0","0",,,,,,,,,,,,
"50","Hôtel de Bourgogne","http://www.bourgogne-du-sud.com/images/bdd/photos/100083/1/146253.jpg","Hôtel de Bourgogne","6, rue Victor Hugo",,,"71000","Mâcon","46,3061893","4,8291314","33862329100014","551C","86B81",,"Immatriculation 071100019","03 85 21 10 23",,"03 85 38 65 92","mailto: Hotel-de-bourgogne@wanadoo.fr","http://www.hoteldebourgogne.com","http://ldf.reservit.com/reservit/reserhotel.php?id=12&partid=378&hotelid=9904","Hôtels - restaurant","3 étoiles (hôtel), 3 étoiles (nouveau classement)","50.0","50.0","50","8.0",,,"2.0","Qualité Tourisme, Logis","Interhôtels, Logis","Cet ancien relais de poste, climatisé, en centre ville, avec garage privé vous offrira des prestations de qualité qui feront de votre séjour, une agréable halte où le meilleur accueil vous sera réservé.","Ouvert toute l'année.","Anglais, Allemand, Italien, Espagnol","Oui","Oui","Oui","Oui","20.","50.0","1/2 double pour 20 personnes payantes.","Oui","Chèques Vacances","Accès Internet, Câble/ satellite, Canal +, Climatisation, Télévision, Wifi","Ascenseur, Bar, Garage privé, Parking privé, Restaurant","Service en chambre","Golf",,"69.0","105.","108","127",,,"11.0","11.0","100.0","167.0","89.0","94.0","32.0","40.0","48.0","56.0"
"51","Hôtel de Genève","http://www.bourgogne-du-sud.com/images/bdd/photos/100083/1/146254.jpg","Hôtel de Genève","1, rue Bigonnet",,,"71000","Mâcon","46,3033161","4,8268106","31311871300012","551A","B313118713",,,"03 85 38 18 10",,"03 85 38 22 32","mailto: contact@hotel-de-geneve.com","http://www.hotel-de-geneve.com",,"Hôtels","2 étoiles","58.0","56.0","56","12.",,,"1.0",,,"56 chambres insonorisées avec bain ou douche. Cuisine régionale. Séminaires de 16 ou 40 personnes. Salon bar, télévision. Soirée étape ou séjour d'affaires à proximité immédiate des axes routiers et ferroviaires. Wifi gratuit dans toutes les chambres. Réception de groupes.","Ouvert toute l'année.","Anglais, Allemand, Italien, Espagnol","Oui","Oui","Oui","Oui","15.","100.","1 gratuité pour 20 personnes payantes (base single). 2 gratuités pour 40 personnes payantes (base une 1/2 double et une single).","Oui","Chèques Vacances","Accès Internet, Câble/ satellite, Télévision, Wifi","Ascenseur, Bar, Garage privé, Restaurant","Location de voitures",,,"55.0","68.0","79","97",,,"8.2","8.2","66.0","70.0","66.0","70.0","26.5","33.7","39.4","46.4"
"52","Hôtel de la Ferté","http://www.bourgogne-du-sud.com/images/bdd/photos/100083/1/146208.jpg","Hôtel de la Ferté","11, boulevard de la Liberté",,,"71150","Chagny","46,9067707","4,7529035","48858515900020","551A","488585159",,,"03 85 87 07 47",,"03 85 87 37 64","mailto: reservations@hotelferte.com","http://www.hotelferte.com",,"Hôtels","2 étoiles","14.0","13.0","13","3.0",,,"1.0","Qualité Tourisme, Tour de Bourgogne à vélo","Contact Hôtel","Hôtel de charme, non fumeur, dans une maison bourgeoise bourguignonne, chaleureux et convivial. 13 chambres de caractère toutes différentes (dont 2 chambres famille 4 à 5 personnes), rénovées et insonorisées. Grand jardin pour petit-déjeuner de l'été. Parking fermé gratuit. Dégustation de vins de Bourgogne. Bar dans l'hôtel. Exposition artistique permanente présentée par l'artiste. Un rare moment de calme et de relaxation où l'hospitalité n'est pas un vain mot.",,,"Oui",,,"Oui","12.","32.0",,"Oui","Chèques Vacances","Télévision, Wifi","Bar, Jardin, Parking privé","Service en chambre","Golf, Piscine couverte, Piscine plein-air, Randonnée voie verte",,"59.0","78.0","78","89",,,"7.5","7.5","65.0","75.0","65.0","75.0","36.0","45.0","65.0","75.0"
"53","Hôtel de la Gare","http://www.bourgogne-du-sud.com/images/bdd/photos/100083/I/Image40.jpg","Hôtel de la Gare","Le Bourg",,,"71290","Simandre","46,6234612","4,9890161",,,,,,"03 85 40 21 12 ",,"03 85 40 21 12",,,,"Hôtels - restaurant","Sans étoile",,,"6",,,,,,,"Hôtel restaurant situé au coeur du bourg de Simandre.","Tous les jours sauf mercredi soir et dimanche soir.","Français",,,,"Oui",,,,,,"Télévision",,,,,"28.0","38.0","0","0",,,"6.5",,,,,,,,,
"54","Hôtel de la Poste","http://www.bourgogne-du-sud.com/images/bdd/photos/100083/1/146205.jpg","Hôtel de la Poste","17, rue de la Poste",,,"71150","Chagny","46,9073825","4,7539181","44993957800018","551C","449939578",,,"03 85 87 64 40",,"03 85 87 64 41","mailto: info@hoteldelaposte-chagny71.com","http://www.hoteldelaposte-chagny71.com",,"Hôtels","3 étoiles (hôtel), 3 étoiles (nouveau classement)","11.0","11.0","11",,,,,,,"Convivialité et charme à l'orée des vignobles de Bourgogne et de la Voie Verte... Hôtel familial de 11 chambres calmes et confortables, jardin, terrasse et parking privé.","Fermé du 23/08/2013 au 02/09/2013 et du 22/12/2013 au 06/01/2014.","Anglais, Allemand","Oui",,,"Oui","14.","22.0",,,"Chèques Vacances","Télévision, Wifi","Jardin, Parking privé","Service en chambre, Wifi",,,"49.0","68.0","74","88",,,"8.0","8.0",,,,,,,,
"55","Hôtel de la Thalie","http://www.bourgogne-du-sud.com/images/bdd/photos/100083/1/172884.jpg","Hôtel de la Thalie","77, rue François Protheau",,,"71100","Chalon-sur-Saône","46,7990329","4,8355541","48103035100029","55.10Z",,,,"03 85 46 84 24",,"03 85 46 84 27","mailto: contact@hotel-thalie.com","http//www.hotel-thalie.com",,"Hôtels","2 étoiles (hôtel), 2 étoiles (nouveau classement)","54.0","54.0","54",,,"3.0","1.0","Tour de Bourgogne à vélo",,"Hôtel situé à proximité immédiate de la sortie d'autoroute A6 (n°25 - Chalon Nord) et à quelques minutes du centre ville. La Voie Verte passe devant l'hôtel. Les chambres sont climatisées, équipées d'un grand lit 160 cm (pour les chambres doubles) avec accès wifi gratuit pour les voyageurs d'affaires et les touristes.","Ouvert toute l'année.","Anglais, Espagnol, Italien","Oui","Oui","Oui","Oui",,,"1 gratuité à partir de 20 personnes payantes.",,"Chèques Vacances","Wifi, Accès Internet, Câble/ satellite, Canal +, Climatisation, Télévision","Ascenseur, Parking privé","Coffres clients, Location ou prêt de vélos/VTT",,,"49.0","69.0","79","89",,,"7.5","7.5",,,"73.0","73.0","20.0","25.0",,
"56","Hôtel du Commerce","http://www.bourgogne-du-sud.com/images/bdd/photos/100083/1/146226.jpg","Hôtel du Commerce","8, place du Commerce",,,"71250","Cluny","46,4322483","4,6611051","34953006300016","551C","B349530063",,,"03 85 59 03 09",,"03 85 59 00 87","mailto: hotelducommerce71@orange.fr","http://www.hotelducommerce-cluny.com",,"Hôtels",,"17.0","17.0","17",,,,,,,"A deux pas de l'Abbaye, au cœur de la vie commerçante. Cet établissement ne disposant pas de restaurant, n'hésitez pas à demander une liste à nos hôtesses pour trouver le lieu où apprécier la gastronomie bourguignonne.","Fermé du 04/03/2011 au 14/03/2011 et du 03/12/2011 au 12/12/2011.","Anglais","Oui",,,,,,,,"Chèques Vacances","Télévision",,"Service en chambre",,,"29.0","45.0","0","0",,,"6.5",,,,,,,,,
"57","Hôtel du Jura","http://www.bourgogne-du-sud.com/images/bdd/photos/HOTBOU0710000563.jpg","Hôtel du Jura","4, rue d'Alsace",,,"71500","Louhans","46,6299129","5,2261746","31961651800017","551C",,,,"03 85 75 14 91",,"03 85 75 29 99","mailto: hotel-jura@wanadoo.fr",,,"Hôtels","2 étoiles","14.0","14.0","14",,,,"1.0",,,"Accueil familial. Chambres au calme et entièrement rénovées en 2001.",,"Anglais, Espagnol","Oui",,"Oui","Oui","6.0","34.0",,,,"Câble/ satellite, Télévision","Bar, Garage privé, Local matériel fermé, Parking privé","Service en chambre",,,,,"0","0",,,,,,,,,,,,
